Set,Code,Release Date,Number in the set,Card Name,Rarity,Text,Mana Cost,Type,Power,Toughness,CMC,Artist,Standard
Unstable,UST,12/8/2017,1,Adorable Kitten,Common,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",{W},Host,,,1,Andrea Radeck,No
Unstable,UST,12/8/2017,2,Aerial Toastmaster,Uncommon,"Flying
{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",{3}{W},Artifact,,,4,Carl Critchlow,No
Unstable,UST,12/8/2017,3,Amateur Auteur,Common,Sacrifice Amateur Auteur: Destroy target enchantment.,{1}{W},Creature,2,2,2,McLean Kendree,No
Unstable,UST,12/8/2017,4,By Gnome Means,Rare,"{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token.
{1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent.",{2}{W},Enchantment,,,3,Sean Murray,No
Unstable,UST,12/8/2017,5,Chivalrous Chevalier,Common,"Flying
When Chivalrous Chevalier enters the battlefield, return a creature you control to its owner's hand unless you compliment an opponent.",{4}{W},Artifact,,,5,Dmitry Burmak,No
Unstable,UST,12/8/2017,6,Do-It-Yourself Seraph,Mythic Rare,"Flying
Whenever Do-It-Yourself Seraph attacks, you may search your library for an artifact card, exile it, then shuffle your library.
Do-It-Yourself Seraph has the text box of each card exiled with Do-It-Yourself Seraph in addition to its own.",{4}{W}{W},Artifact,,,6,David Sladek,No
Unstable,UST,12/8/2017,7,Gimme Five,Uncommon,You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in a silver-bordered game who high-fives you gains 1 life. (Offer high fives. Don't hit people.),{W},Instant,,,1,Jesper Ejsing,No
Unstable,UST,12/8/2017,8,GO TO JAIL,Common,"When GO TO JAIL enters the battlefield, exile target creature an opponent controls until GO TO JAIL leaves the battlefield.
At the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If he or she rolls doubles, sacrifice GO TO JAIL.",{W},Enchantment,,,1,Marco Teixeira,No
Unstable,UST,12/8/2017,9,"Half-Kitten, Half-",Uncommon,"Whenever you're dealt damage,
Augment {2}{W} ({2}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,1,2,0,Andrea Radeck,No
Unstable,UST,12/8/2017,10,Humming-,Common,"Flying
Whenever you attack with two or more creatures,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",,Creature,2,3,0,Mark Behm,No
Unstable,UST,12/8/2017,11,Jackknight,Rare,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.",{1}{W},Artifact,,,2,Ben Wootten,No
Unstable,UST,12/8/2017,12,Knight of the Kitchen Sink (a),Uncommon,"First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2,Mark A. Nelson,No
Unstable,UST,12/8/2017,12,Knight of the Kitchen Sink (b),Uncommon,"First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)",{W}{W},Artifact,,,2,Mark A. Nelson,No
